transaction_id,account_number,amount,transaction_type,description,occurred_at,counterparty_account_number
1,880334455004,474871,DEPOSIT,"월급 입금","2024-11-12T01:17:26.160Z",
2,941566778003,13000,WITHDRAWAL,"의료비 출금","2024-11-12T01:22:56.160Z",
3,941566778003,6500,PAYMENT,"온라인 쇼핑","2024-11-12T02:35:16.160Z",
4,210123987002,818218,TRANSFER,"월세 이체","2024-11-12T03:10:55.160Z",330111222333
5,880334455004,2387744,DEPOSIT,"배당금 입금","2024-11-12T03:25:44.160Z",
6,210123987002,896276,TRANSFER,"월세 이체","2024-11-12T05:27:50.160Z",660555444333
7,210123987002,1237570,TRANSFER,"월세 이체","2024-11-12T05:59:03.160Z",330111222333
8,210123987002,2394474,DEPOSIT,"월급 입금","2024-11-12T06:35:40.160Z",
9,210123987002,1155691,TRANSFER,"친구에게 송금","2024-11-12T07:15:50.160Z",550987654321
10,210123987002,306361,TRANSFER,"대출이자 납부","2024-11-12T07:46:15.160Z",330111222333
11,880334455004,2382030,DEPOSIT,"배당금 입금","2024-11-12T09:00:36.160Z",
12,941566778003,13000,WITHDRAWAL,"교육비 출금","2024-11-12T09:13:56.160Z",
13,880334455004,244334,DEPOSIT,"월급 입금","2024-11-12T09:15:41.160Z",
14,210123987002,2030273,DEPOSIT,"자금 이체","2024-11-12T09:50:14.160Z",
15,941566778003,13000,WITHDRAWAL,"교육비 출금","2024-11-12T11:45:53.160Z",
16,110456789001,1224026,TRANSFER,"대출이자 납부","2024-11-12T13:06:36.160Z",330111222333
17,941566778003,14300,WITHDRAWAL,"의료비 출금","2024-11-13T02:01:42.160Z",
18,210123987002,406359,TRANSFER,"대출이자 납부","2024-11-13T02:37:54.160Z",330111222333
19,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-13T02:56:16.160Z",
20,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-13T03:05:56.160Z",
21,210123987002,657686,WITHDRAWAL,"교육비 출금","2024-11-13T03:06:58.160Z",
22,110456789001,304637,TRANSFER,"친구에게 송금","2024-11-13T03:24:11.160Z",770123456789
23,941566778003,14300,WITHDRAWAL,"의료비 출금","2024-11-13T03:40:43.160Z",
24,880334455004,3673656,DEPOSIT,"배당금 입금","2024-11-13T04:37:26.160Z",
25,880334455004,433282,DEPOSIT,"배당금 입금","2024-11-13T06:17:12.160Z",
26,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-13T06:44:11.160Z",
27,210123987002,500187,WITHDRAWAL,"경조사비","2024-11-13T07:58:12.160Z",
28,210123987002,64104,TRANSFER,"월세 이체","2024-11-13T08:09:03.160Z",660555444333
29,210123987002,195026,WITHDRAWAL,"의료비 출금","2024-11-13T09:53:25.160Z",
30,110456789001,261481,DEPOSIT,"배당금 입금","2024-11-13T09:54:22.160Z",
31,880334455004,1553932,DEPOSIT,"자금 이체","2024-11-13T10:11:40.160Z",
32,110456789001,1047770,TRANSFER,"친구에게 송금","2024-11-13T10:14:50.160Z",330111222333
33,110456789001,378157,PAYMENT,"교통비 결제","2024-11-13T12:10:10.160Z",
34,110456789001,544760,WITHDRAWAL,"경조사비","2024-11-13T12:17:05.160Z",
35,210123987002,128597,WITHDRAWAL,"생활비 출금","2024-11-13T12:17:27.160Z",
36,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-13T12:23:29.160Z",
37,941566778003,14300,WITHDRAWAL,"의료비 출금","2024-11-13T12:30:39.160Z",
38,880334455004,1948883,DEPOSIT,"보너스 입금","2024-11-13T13:19:24.160Z",
39,110456789001,662995,TRANSFER,"월세 이체","2024-11-13T13:37:44.160Z",550987654321
40,210123987002,762966,WITHDRAWAL,"ATM 출금","2024-11-14T00:52:50.160Z",
41,110456789001,316625,TRANSFER,"월세 이체","2024-11-14T00:54:10.160Z",330111222333
42,110456789001,1728867,DEPOSIT,"배당금 입금","2024-11-14T02:00:06.160Z",
43,210123987002,274643,DEPOSIT,"보너스 입금","2024-11-14T03:31:20.160Z",
44,210123987002,2457176,DEPOSIT,"월급 입금","2024-11-14T04:51:18.160Z",
45,110456789001,4120803,DEPOSIT,"자금 이체","2024-11-14T06:24:00.160Z",
46,110456789001,39860,WITHDRAWAL,"교육비 출금","2024-11-14T07:09:30.160Z",
47,210123987002,189346,WITHDRAWAL,"교육비 출금","2024-11-14T07:12:54.160Z",
48,210123987002,704828,WITHDRAWAL,"교육비 출금","2024-11-14T07:21:27.160Z",
49,880334455004,2733438,DEPOSIT,"월급 입금","2024-11-14T07:44:41.160Z",
50,210123987002,368094,WITHDRAWAL,"ATM 출금","2024-11-14T07:57:51.160Z",
51,110456789001,771773,TRANSFER,"가족 송금","2024-11-14T07:59:30.160Z",770123456789
52,110456789001,1906012,DEPOSIT,"자금 이체","2024-11-14T08:39:51.160Z",
53,210123987002,508232,WITHDRAWAL,"교육비 출금","2024-11-14T09:53:47.160Z",
54,210123987002,316920,WITHDRAWAL,"생활비 출금","2024-11-14T10:31:25.160Z",
55,941566778003,7800,PAYMENT,"통신요금 납부","2024-11-14T12:04:34.160Z",
56,210123987002,767434,WITHDRAWAL,"의료비 출금","2024-11-14T12:23:19.160Z",
57,880334455004,1143271,DEPOSIT,"보너스 입금","2024-11-14T12:44:38.160Z",
58,880334455004,2022519,DEPOSIT,"배당금 입금","2024-11-14T12:55:02.160Z",
59,880334455004,1473456,DEPOSIT,"월급 입금","2024-11-14T13:23:22.160Z",
60,210123987002,1407260,TRANSFER,"대출이자 납부","2024-11-15T01:28:01.160Z",330111222333
61,941566778003,16900,WITHDRAWAL,"ATM 출금","2024-11-15T01:48:04.160Z",
62,110456789001,1503645,TRANSFER,"적금 이체","2024-11-15T01:48:09.160Z",330111222333
63,880334455004,1430024,DEPOSIT,"월급 입금","2024-11-15T02:04:16.160Z",
64,880334455004,4159793,DEPOSIT,"보너스 입금","2024-11-15T02:10:49.160Z",
65,110456789001,403157,TRANSFER,"월세 이체","2024-11-15T02:17:19.160Z",770123456789
66,941566778003,16900,WITHDRAWAL,"교육비 출금","2024-11-15T02:46:59.160Z",
67,110456789001,975128,TRANSFER,"적금 이체","2024-11-15T02:48:35.160Z",770123456789
68,941566778003,16900,WITHDRAWAL,"경조사비","2024-11-15T06:28:05.160Z",
69,110456789001,464476,WITHDRAWAL,"경조사비","2024-11-15T07:12:31.160Z",
70,941566778003,8450,PAYMENT,"공과금 납부","2024-11-15T07:37:09.160Z",
71,941566778003,8450,PAYMENT,"식비 결제","2024-11-15T08:39:00.160Z",
72,880334455004,2981880,DEPOSIT,"부업 수입","2024-11-15T10:23:27.160Z",
73,110456789001,3532188,DEPOSIT,"배당금 입금","2024-11-15T10:46:26.160Z",
74,880334455004,3963339,DEPOSIT,"보너스 입금","2024-11-15T11:13:35.160Z",
75,880334455004,3483354,DEPOSIT,"배당금 입금","2024-11-15T12:17:54.160Z",
76,941566778003,8450,PAYMENT,"식비 결제","2024-11-15T12:27:50.160Z",
77,941566778003,16900,WITHDRAWAL,"교육비 출금","2024-11-15T12:28:24.160Z",
78,110456789001,341058,PAYMENT,"공과금 납부","2024-11-15T13:30:14.160Z",
79,880334455004,4442082,DEPOSIT,"부업 수입","2024-11-15T13:46:23.160Z",
80,941566778003,5005,PAYMENT,"보험료 납부","2024-11-16T02:16:09.160Z",
81,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-16T02:27:28.160Z",
82,880334455004,1929856,DEPOSIT,"부업 수입","2024-11-16T02:59:53.160Z",
83,880334455004,666953,DEPOSIT,"자금 이체","2024-11-16T03:15:22.160Z",
84,210123987002,358376,WITHDRAWAL,"생활비 출금","2024-11-16T04:52:11.160Z",
85,210123987002,1101058,DEPOSIT,"부업 수입","2024-11-16T05:04:33.160Z",
86,210123987002,246935,WITHDRAWAL,"생활비 출금","2024-11-16T05:23:56.160Z",
87,880334455004,1327652,DEPOSIT,"보너스 입금","2024-11-16T06:25:24.160Z",
88,941566778003,5005,PAYMENT,"카드대금 결제","2024-11-16T07:10:07.160Z",
89,210123987002,632141,DEPOSIT,"배당금 입금","2024-11-16T08:23:33.160Z",
90,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-16T09:57:09.160Z",
91,210123987002,2909553,DEPOSIT,"월급 입금","2024-11-16T10:39:01.160Z",
92,880334455004,1771944,DEPOSIT,"자금 이체","2024-11-16T11:02:03.160Z",
93,880334455004,1845249,DEPOSIT,"월급 입금","2024-11-17T00:27:00.160Z",
94,210123987002,1000222,DEPOSIT,"부업 수입","2024-11-17T00:27:22.160Z",
95,210123987002,47300,WITHDRAWAL,"의료비 출금","2024-11-17T01:07:38.160Z",
96,210123987002,144407,TRANSFER,"적금 이체","2024-11-17T04:47:33.160Z",330111222333
